Scenario,Framework,Endpoint,Profile,Throughput,Error_Rate,Latency_P99,CPU_Mean,RAM_Mean,TCP_Max,CPU_Temp_Max_C
A (Ideal),FastAPI,CPU,medium,50.02806233332824,0.0,3.61781761,14.621111111111112,41.39555555555555,0,42.75
A (Ideal),FastAPI,CPU,medium,50.02715910308958,0.0,3.5531908899999993,14.856666666666667,41.313333333333325,0,42.25
A (Ideal),Express,CPU,medium,50.018713876979696,0.0,12.59928057999998,45.31444444444444,34.19111111111111,1,42.375
A (Ideal),Express,IO,high,100.02841793687591,0.0,2.2362636999999985,6.0200000000000005,36.58555555555555,1,42.875
A (Ideal),FastAPI,CPU,medium,50.02701374252769,0.0,3.8533001,14.738888888888889,41.248888888888885,0,42.0
A (Ideal),Express,IO,medium,50.03071068512234,0.0,2.124676069999996,3.6544444444444446,35.24888888888889,1,42.25
A (Ideal),Express,CPU,low,10.029964449816996,0.0,12.920412979999984,10.025555555555556,30.504444444444445,0,42.125
A (Ideal),FastAPI,IO,high,100.0271261833604,0.0,1.7056961899999996,9.587777777777777,45.00888888888889,1,42.375
A (Ideal),FastAPI,IO,medium,50.03015822270723,0.0,2.0070330899999997,6.243333333333333,44.15888888888889,2,42.125
A (Ideal),FastAPI,CPU,medium,50.028002769593435,0.0,3.342101289999997,14.981111111111112,41.388888888888886,0,42.125
A (Ideal),Express,IO,medium,50.03174655481092,0.0,2.839784389999998,4.072222222222221,35.13777777777777,1,42.125
A (Ideal),FastAPI,IO,low,10.032596403678976,0.0,1.8585415499999973,1.6644444444444444,42.55555555555556,1,42.75
A (Ideal),FastAPI,CPU,low,10.032045532355603,0.0,3.5537987699999953,3.27,41.20111111111111,1,42.0
A (Ideal),FastAPI,IO,high,99.99894387448747,0.0,1.5994723799999992,9.69888888888889,46.42,2,41.75
A (Ideal),FastAPI,CPU,high,100.02241511655076,0.0,2.7857388,27.6,41.474444444444444,0,42.375
A (Ideal),FastAPI,CPU,high,100.0223990880439,0.0,3.423561019999999,29.523333333333337,41.330000000000005,1,42.5
A (Ideal),Express,CPU,low,9.999669425594972,0.0,12.630353080000036,9.993333333333332,30.543333333333337,1,42.125
A (Ideal),FastAPI,IO,high,100.0243671490621,0.0,1.57060891,9.648888888888889,44.82888888888889,2,42.625
A (Ideal),FastAPI,IO,medium,50.03023621322823,0.0,1.8516643899999992,6.251111111111111,44.18777777777778,1,42.0
A (Ideal),Express,IO,medium,50.03103984542646,0.0,2.6869708399999994,4.042222222222223,34.86,1,42.375
A (Ideal),FastAPI,CPU,medium,50.027567185956016,0.0,3.4482032699999983,15.15111111111111,41.385555555555555,1,42.125
A (Ideal),FastAPI,CPU,high,100.02280098906877,0.0,3.088268599999999,27.467777777777776,43.51444444444445,1,41.75
A (Ideal),FastAPI,CPU,high,100.02278614058265,0.0,3.1580104399999986,27.71777777777778,41.486666666666665,1,42.5
A (Ideal),FastAPI,CPU,medium,50.02749855947301,0.0,3.162815299999999,14.74111111111111,41.27,0,42.375
A (Ideal),FastAPI,CPU,high,100.02386187380478,0.0,2.9214711999999996,27.628888888888888,43.662222222222226,0,42.125
A (Ideal),Express,CPU,high,100.0018771861873,0.0,25.69527464,89.91888888888889,43.01222222222222,3,42.75
A (Ideal),Express,CPU,medium,50.019536254574,0.0,14.004189349999995,44.71666666666667,34.33,1,42.875
A (Ideal),Express,IO,low,10.032862577375194,0.0,2.426665499999973,1.591111111111111,29.45555555555556,2,41.75
A (Ideal),Express,IO,medium,50.03091390504477,0.0,2.2527154999999994,3.9722222222222223,35.08222222222222,1,41.625
A (Ideal),FastAPI,IO,low,10.032451686160964,0.0,2.1759146,1.6655555555555555,44.16666666666667,1,42.375
A (Ideal),Express,IO,high,100.02837266292492,0.0,2.0562865999999973,5.70888888888889,36.62777777777778,1,42.75
A (Ideal),FastAPI,CPU,high,100.02205150940269,0.0,3.1453764100000003,28.147777777777776,41.294444444444444,1,43.0
A (Ideal),FastAPI,IO,low,10.032553355482477,0.0,1.7221935899999976,1.6555555555555557,42.59111111111111,1,42.125
A (Ideal),FastAPI,IO,high,100.02492254433967,0.0,1.7292471999999999,9.621111111111112,44.76222222222222,1,42.125
A (Ideal),FastAPI,IO,high,99.99666618448029,0.0,1.733696,9.703333333333333,44.90555555555556,1,42.375
A (Ideal),Express,IO,low,10.032788657919063,0.0,2.6529275099999996,1.5922222222222222,29.38444444444444,1,42.375
A (Ideal),FastAPI,CPU,low,9.999622633907721,0.0,6.281354120000001,3.28,41.184444444444445,0,42.875
A (Ideal),FastAPI,IO,low,10.032475735904814,0.0,2.107812699999994,1.6599999999999997,44.45222222222222,1,42.25
A (Ideal),Express,IO,high,100.02648359308964,0.0,1.8050949399999978,5.7155555555555555,36.64333333333333,1,42.125
A (Ideal),Express,CPU,medium,50.01839841311148,0.0,14.373883439999995,45.01222222222222,34.23333333333333,1,42.125
